一	one	#1
昔	the old days	#743a
错	mistake	#743
借	borrow	#744
散 without 攵	midnight feast	#745a
散	disperse	#745
 i.e. 船 without 舟	ravine	#746a
船	ship	#746
铅	lead	#747
疋	bolt of cloth	#748a
蛋	egg	#748
林	a wood	#749a
楚	clear	#749
麻	hemp	#750
嘛	surely	#751
隶	subordinate	#752a
康	good health	#752
录	to record	#753
绿	green	#754
旅	travel	#755
俞	catamaran	#756a
愉	happy	#756
输	lose	#757
凉	cool	#758
谅	forgive	#759
夗	turn in one's sleep	#760a
宛	winding	#760b
碗	bowl	#760
香	fragrant	#761
奴	slave	#762a
努	exert oneself	#762
焦	scorched	#763a
蕉	[banana]	#763
唐 without 广	rude	#764a
唐	Tang	#764b
糖	sugar	#764
夋	hesitate	#765a
酸	sour	#765
委	entrust	#766a
矮	short	#766
囱	[chimney]	#767a
窗	window	#767
寒 without the top 宀 and bottom 八 and冫	bricks	#768a
寒 without冫	to block up	#768b
寒	freezing	#768
赛	compete	#769
𠕁 i.e. 扁 without 户	old book	#770a
扁	flat	#770b
遍	everywhere	#770
篇	piece of paper	#771
昌	prosperous	#772a
唱	sing	#772
冃	hood	#773a
冒	risk	#773
帽	hat	#774
辰	heavenly body	#775a
晨	morning	#775
毌	pierced	#776a
贯	pierce	#776b
惯	habitual	#776
尺	ruler	#777a
迟	late	#777
尧 without 兀	high up	#778a
尧	Chieftain Yao	#778b
烧	burn	#778
旡	to swallow	#779a
既	since	#779b
概	summary	#779
牙	tooth	#780a
呀	oh!	#780
穿	penetrate	#781
異	different	#782a
𢦏	wound	#782b
戴	to wear	#782
乘	ride	#783a
剩	residue	#783
 i.e. 官 without 宀	legion	#784a
官	an official	#784b
馆	public building	#784
罒	net	#785a
曼	graceful	#785b
慢	slow	#785
罢	stop	#786a
摆	arrange	#786
舛	opposing	#787a
舞 without 舛	dancing	#787b
舞	dance	#787
兆	omen	#788a
跳	jump	#788
甫	just now	#789a
辅	assist	#789
尃	spread over	#790a
傅	teacher	#790
并	actually	#791a
瓦	tile	#791b
瓶	bottle	#791
祭 without 示	Druid	#792a
祭	worship	#792b
察	inspect	#792c
擦	wipe	#792
末	tip	#793a
袜	socks	#793
𢆶 i.e. 幺幺 side by side as in 兹	teeny weeny	#794a
兹	jet black	#794b
磁	magnets	#794
丢	mislay	#795
宴	banquet	#796
夜	night	#797
假	vacation	#798
墙	wall	#799
赢	win	#800
